Timestamp,Points,SM,Red,Nir,Lst,NDVI,TVDI 1,TVDI 2,TVDI 3
9/16/2022 12:40,1,0.115,100.861,118.118,21.5842,0.0788075,0.172673,0.200647,0.179355
9/16/2022 12:40,2,0.089,123.928,147.614,21.8473,0.0872295,0.292207,0.323471,0.28971
9/16/2022 12:41,3,0.091,143.533,173.013,22.5315,0.0931284,0.623704,0.643047,0.576719
9/16/2022 12:41,4,0.054,129.508,160.187,22.4057,0.105901,0.55251,0.58249,0.52395
9/16/2022 12:42,5,0.052,133.125,171.756,22.2185,0.126708,0.441288,0.492801,0.445401
9/16/2022 12:42,6,0.092,145.453,177.964,21.5658,0.100523,0.138998,0.191039,0.171626
9/16/2022 12:43,7,0.12,129.618,154.956,21.5192,0.089037,0.129338,0.169728,0.152077
9/16/2022 12:43,8,0.112,98.5255,112.9,21.2064,0.0679869,0.00302741,0.023408,0.0208715
9/16/2022 12:44,9,0.15,101.774,112.564,21.2406,0.0503412,0.041095,0.0396519,0.0352101
9/16/2022 12:46,10,0.14,102.554,127.683,21.3635,0.10914,0.0274115,0.0964016,0.0867781
9/16/2022 12:46,11,0.112,114.62,153.493,21.7419,0.144989,0.176463,0.270465,0.245476
9/16/2022 12:47,12,0.05,100.601,153.504,21.8193,0.208191,0.139567,0.301868,0.277934
9/16/2022 12:47,13,0.039,97.8385,156.529,22.3825,0.23073,0.434218,0.555679,0.514218
9/16/2022 12:48,14,0.085,120.509,152.384,22.3386,0.116804,0.510503,0.549776,0.495767
9/16/2022 12:48,15,0.124,107.678,131.716,22.3598,0.10041,0.533639,0.561763,0.504666
9/16/2022 12:48,16,0.143,95.6815,101.06,22.5395,0.0273389,0.666868,0.656745,0.580044
9/19/2022 11:29,1,0.088,95.1923,121.808,21.0169,0.122654,0.229231,0.465897,0.36908
9/19/2022 11:29,2,0.102,115.285,147.854,21.4976,0.123772,0.511805,0.658088,0.522597
9/19/2022 11:30,3,0.045,148.278,190.318,22.2299,0.124161,0.931516,0.95186,0.756522
9/19/2022 11:30,4,0.064,131.761,172.273,22.4997,0.133248,1.05228,1.03983,0.842674
9/19/2022 11:31,5,0.023,134.215,175.109,22.2575,0.132203,0.929109,0.946467,0.765317
9/19/2022 11:31,6,0.073,145.17,185.479,21.8125,0.121907,0.691758,0.787938,0.623187
9/19/2022 11:32,7,0.1,116.239,151.462,21.6793,0.131578,0.625973,0.719053,0.580656
9/19/2022 11:32,8,0.072,122.831,154.712,20.7456,0.114867,0.0045914,0.362642,0.28243
9/19/2022 11:33,9,0.159,100.261,123.768,20.7886,0.104931,-0.0715233,0.388772,0.296142
9/19/2022 11:34,10,0.14,102.015,128.343,21.0405,0.114291,0.189422,0.484205,0.376625
9/19/2022 11:35,11,0.135,113.741,149.439,21.495,0.135641,0.53741,0.640609,0.521783
